100 1000 5 14
59 23 55 81 65
36 34 29 14 96
54 73 14 72 15
29 15 4 78 12
28 64 76 38 37
65 32 18 5 72
18 81 15 41 72
65 89 15 28 76
55 78 76 18 12
36 7 43 63 80
82 95 70 14 65
14 30 51 82 32
54 78 12 32
87 95 24 12 82
13 55 65 48 77
12 46 5 90 76
56 78 59 71 1
4 28 18 49 30
20 10 44 28 55
15 25 34 87 41
45 14 25 5 93
18 22 49 17 41
70 14 5 87 55
65 29 7 15 32
30 19 68 60 9
4 15 55 70 72
76 65 14 46
95 29 4 78 14
84 5 71 32 87
36 89 27 75 16
85 30 49 91 14
70 64 75 78 27
15 4 95 70
12 87 90 15 36
89 79 41 63 12
55 82 32 81 70
29 15 18 82 28
7 40 28 29 82
70 82 32 14 95
12 70 95 72 55
30 37 29 82 65
70 51 33 67 87
87 55 76 78 32
78 65 70 45 5
87 52 64 82 34
82 25 48 85 15
76 18 36 28 66
5 85 30 6 25
55 5 72 30 90
30 18 8 28
70 14 65 24 4
5 65 70 55 7
76 12 82 28 87
14 3 28 55 18
82 36 76 60 65
32 6 5 22 38
75 82 28 14 4
95 3 82 20 16
12 5 14 32 29
78 3 32 96 68
61 13 87 86 99
30 70 4 2 43
32 30 97 55 36
4 72 18 70 14
70 22 82 28 19
82 4 18 30 29
4 82 30 5 28
65 55 100 12 30
20 18 87 14 13
87 30 99 14 78
71 87 82 13 5
95 28 48 82 87
76 28 95 8 4
12 80 61 18 77
87 57 55 78 7
4 18 8 32
15 28 78 87 18
29 23 12 55 78
93 83 80 32 60
28 14 44 65 30
18 78 82 4 14
28 14 5 55 32
32 33 95 70
15 14 5 4 70
5 12 15 55 29
27 29 89 14
82 87 55 18 32
50 72 36 28 51
30 29 72 76 36
65 28 82 87 14
65 78 70 94 38
15 32 48 92 55
30 70 15 36 87
66 36 47 16 41
86 32 70 39
72 87 78 4 18
87 82 33 15 32
57 55 36 30 18
36 28 76 78 18
68 5 16 91 45
29 86 87 5 100
82 76 14 87 72
63 18 12 64 72
5 74 12 15 10
88 37 36 79 29
97 87 70 95 5
14 76 12 4 82
76 24 78 12 11
91 31 41 14 5
46 68 14 18 89
4 95 28 14 55
91 95 37 99 12
10 22 5 95 64
78 7 21 29 77
82 78 14 65 36
24 82 33 79 12
95 30 45 4 28
30 82 15 87 5
45 28 90 33 72
70 76 65 87 78
5 29 78 55 18
38 70 16 67 43
74 10 55 82 56
15 87 61 12 55
18 28 56 85 36
65 14 3 82 72
41 87 15 57 32
5 55 70 32 38
67 72 68 28 15
35 68 12 30 95
1 18 60 31 40
75 95 82 18 28
2 5 93 87 76
97 95 82 87 76
53 85 59 55 25
8 32 54 70 64
95 26 18 16 36
87 5 78 70 72
87 15 5 14 36
37 29 98 15 65
51 78 29 28 70
65 4 71 100 30
55 76 6 68 70
87 76 14 70 36
76 65 87 36 4
30 12 31 82 78
11 72 8 36 85
32 76 72 36 30
62 97 72 37 55
68 58 12 29 28
29 36 30 32 55
30 65 95 29 86
94 12 5 4 18
76 94 3 4 38
72 45 36 28 1
78 43 24 30 65
28 4 82 5 95
12 55 25 82 42
26 76 28 15 12
5 34 78 74 95
36 28 4 32 72
40 32 89 29
87 12 66 5
98 70 5 76 72
83 55 8 61
61 5 72 43 87
80 72 14 55 64
15 82 30 32 61
39 61 72 12 57
37 14 78 28 32
95 76 65 30 27
95 36 46 4 29
30 65 78 4
18 95 99 30 80
78 12 5 36 4
55 70 36 72 4
97 78 44 19 65
23 70 32 72 94
54 65 14 13 31
83 72 85 57 70
4 78 89 55 62
87 76 18 8 5
70 32 36 29 5
65 95 32 30 47
39 62 25 30 15
47 100 28 32 88
29 18 12 15 5
95 65 44 89 82
15 29 37 65 78
36 76 14 95 78
4 5 30 29 41
32 72 94 14 30
28 30 78 87 65
27 78 87 82 28
30 28 76 32 36
5 32 70 82 16
30 48 100 57 29
65 12 14 28 70
70 71 87 72 49
95 65 78 99 38
66 75 5 12 4
30 95 18 14 36
95 11 78 42 72
87 29 78 70 65
32 94 84 4 55
61 82 34 30 93
95 29 70 46 17
32 64 78 62 29
15 76 19 33 67
31 5 14 73 96
15 47 95 69 16
96 18 72 78 48
5 29 4 18 30
17 21 65 54 91
4 30 15 5 28
78 15 68 65 5
7 58 5 29 35
32 55 98 36 77
76 66 36 65 4
65 36 18 87 82
28 5 18 94 35
18 29 82 4 95
44 76 15 54
82 70 78 58
14 55 18 15 87
12 76 70 28 15
28 32 85 65 18
72 65 30 36 55
10 73 12 4 5
4 15 30 72 29
94 97 12 100 29
65 18 70 39 87
30 5 99 10 28
15 2 75 18 55
38 50 70 84 18
12 32 72 36 73
82 15 4 55 72
67 38 51 29 62
82 73 2 42 54
72 62 53 95 25
70 46 25 96 12
76 6 56 1 38
92 78 23 30 95
14 93 90 4 57
57 32 4 18 87
30 10 24 75 35
14 5 36 50 82
72 30 25 8 27
4 95 1 31 12
11 56 52 44 32
72 76 70 87 82
32 78 36 30 76
44 49 4 43 32
95 14 72 29 5
5 82 86 70 55
32 70 28 29 76
70 14 18 65 76
5 32 82 72 65
87 36 28 26 18
28 30 76 72 93
18 65 66 36 5
26 52 95 59
5 36 30 78 35
32 95 36 4 12
73 28 95 46 5
70 65 68 17 99
65 55 41 24 5
82 5 55 29 39
70 95 32 12 65
59 65 70 30 76
78 72 32 68 4
76 42 36 30 14
32 72 87 28 65
36 28 15 82 12
17 72 55 5 28
79 29 23 14 57
72 65 83 5 12
45 15 87 35 82
55 29 12 32 36
65 32 14 87 70
15 55 100 87 13
76 15 64 63 28
5 14 30 96 12
65 12 22 4 76
70 65 58 87 57
93 2 63 95 84
88 36 29 32 87
63 32 6 12 4
52 82 60 8 22
55 48 9 23 70
36 72 68 76 65
62 55 36 12 29
43 36 78 95 74
85 65 87 70 78
28 39 18 87 15
12 36 70 76 82
82 78 72 27 4
55 76 36 4 72
76 70 36 65 29
46 15 44 9 18
71 17 96 82
95 81 78 3 14
15 5 50 12 30
78 51 23 95 72
12 36 94 76 32
70 8 55 38 28
15 5 4 87 76
12 21 63 57 31
3 65 18 16 94
82 11 87 53 76
24 4 5 14 85
76 30 36 4 95
40 87 14 93 86
29 78 14 11 4
65 95 36 78 55
70 83 16 69 4
18 40 30 97 5
95 72 18 65 5
36 83 29 38 64
13 29 45 91
15 76 32 55 50
32 89 14 4 28
15 65 28 9 55
65 76 12 82 18
82 70 60 14 32
78 32 18 95 12
36 84 78 85 76
12 82 57 78 95
22 15 10 24 28
65 36 70 29 32
95 87 38 97 30
32 80 55 97 36
78 30 74 32 38
15 32 95 70 18
89 9 70 17 12
18 73 36 79 4
55 28 36 38 89
30 8 32 15 96
28 82 4 55 70
73 19 70 21
18 95 40 15 55
49 83 55 63 9
31 40 4 28 95
27 12 37 45 76
4 36 12 15 95
76 55 28 15 30
91 76 72 51
29 32 13 43 81
65 4 70 76 14
82 79 5 30 63
59 78 76 94 36
28 4 65 14 76
24 75 34 89 76
69 86 87 28 14
4 14 19 55 22
7 41 80 71 30
4 15 18 6 37
82 12 76 95 18
78 65 14 12 32
32 86 23 22 78
72 36 82 32 28
55 76 12 14 87
30 1 100 95 76
70 14 4 87 78
18 76 70 15 36
35 29 76 15 72
72 65 87 78 32
32 12 18 70 4
47 14 78 87 12
30 55 95 87 76
55 15 87 5 78
77 1 15 28 70
97 72 55 64 41
68 20 82 30 70
95 51 76 31 36
