200 1500 5 20
4 22 23 39 41 
7 24 89 95 168 
9 22 23 40 122 
16 23 93 98 181 
3 22 115 120 121 
9 21 103 194 197 
4 25 52 118 120 
11 21 22 24 124 
19 24 147 167 190 
4 8 22 34 81 
8 22 24 74 162 
15 27 37 84 89 
8 18 24 48 175 
4 16 111 177 182 
18 21 28 76 133 
10 30 51 99 135 
20 23 24 33 90 
2 15 25 56 76 
19 21 25 90 132 
4 11 24 134 166 
14 18 21 169 176 
10 19 101 126 196 
2 21 69 117 131 
12 20 30 76 78 
7 21 24 61 199 
7 20 22 36 76 
3 9 25 96 149 
2 15 21 23 35 
5 23 96 118 183 
5 11 28 57 115 
5 24 52 123 145 
1 48 56 64 151 
12 16 23 52 99 
2 25 63 125 190 
10 24 75 104 132 
2 15 21 22 25 
7 8 22 89 114 
6 13 22 100 194 
1 16 25 104 184 
8 16 22 24 183 
16 23 148 177 185 
17 19 24 173 186 
4 12 21 32 84 
17 21 25 32 168 
15 19 22 24 25 
16 20 23 24 140 
10 16 21 24 179 
4 10 22 72 178 
13 23 24 72 179 
7 21 182 185 198 
8 12 96 138 157 
12 15 21 134 153 
20 21 22 23 25 
4 23 126 152 168 
13 24 25 60 200 
7 24 46 48 124 
14 122 140 159 190 
11 12 21 22 100 
15 21 25 53 190 
14 21 37 46 198 
12 14 25 36 133 
18 22 23 25 88 
4 21 23 24 100 
7 20 21 24 30 
13 14 25 48 124 
3 37 83 168 175 
3 5 69 78 149 
7 31 103 160 163 
6 21 25 39 143 
6 22 25 96 177 
5 21 22 23 24 
1 20 83 148 170 
15 20 21 44 60 
10 21 22 25 114 
15 21 131 174 198 
6 21 59 161 194 
8 20 24 143 197 
6 24 154 155 188 
14 18 21 29 144 
8 10 25 124 195 
2 4 23 25 101 
6 22 23 35 98 
12 16 23 53 125 
7 8 23 129 188 
1 51 62 77 135 
9 14 22 23 36 
5 21 96 97 121 
13 17 23 57 96 
8 13 22 100 101 
1 5 22 25 54 
10 20 25 92 189 
1 8 165 185 193 
18 24 56 184 190 
15 25 99 176 185 
7 18 49 85 144 
8 9 21 80 188 
2 23 71 111 125 
8 9 21 23 152 
12 41 134 136 149 
7 20 21 58 176 
11 21 24 25 31 
2 16 23 127 191 
2 23 25 46 81 
1 24 25 123 192 
12 21 65 91 144 
2 24 25 123 164 
4 25 42 110 151 
4 11 56 65 107 
7 24 91 103 120 
15 21 22 41 87 
12 21 22 65 181 
11 22 66 152 175 
14 17 24 84 176 
14 24 25 75 104 
17 22 80 181 182 
7 24 27 124 153 
7 21 47 48 119 
1 15 78 145 163 
2 14 62 102 122 
2 8 21 56 168 
2 5 66 117 171 
19 22 24 102 151 
12 22 25 67 130 
5 17 21 25 26 
11 23 25 85 153 
