50 100 5 8
36 37 26 43 30 
48 21 39 25 47 
49 23 7 8 46 
2 35 38 41 28 
32 33 11 12 13 
1 3 20 5 22 
40 9 14 31 15 
16 4 24 44 45 
17 50 34 19 29 
19 23 10 11 14 
6 22 9 46 30 
32 3 4 37 28 
19 35 38 25 31 
19 42 29 46 31 
50 34 9 27 12 
17 50 20 22 15 
48 39 43 12 45 
34 18 3 21 7 
16 19 22 24 27 
5 37 23 31 47 
32 2 9 26 30 
33 5 24 43 45 
36 37 6 44 13 
42 43 27 28 31 
20 6 39 26 28 
17 50 40 9 46 
48 3 20 15 31 
17 19 37 24 27 
23 39 8 25 15 
49 33 1 43 27 
17 42 29 45 47 
48 33 22 10 46 
1 4 37 38 15 
48 18 39 40 46 
16 33 41 11 31 
2 38 24 25 31 
34 21 24 44 47 
50 4 39 14 15 
34 40 41 9 30 
35 22 39 26 30 
49 21 44 30 31 
2 20 9 45 30 
35 21 23 42 43 
16 36 6 30 14 
32 33 18 40 43 
33 35 21 6 31 
48 17 1 19 6 
19 37 38 8 41 
19 35 20 38 14 
37 39 24 8 15 
50 39 41 27 31 
4 38 23 24 43 
50 3 38 22 23 
16 34 4 40 46 
34 18 19 5 10 
5 24 27 28 13 
49 1 18 37 15 
32 33 18 5 23 
33 50 20 24 29 
19 38 41 11 13 
48 41 42 12 47 
39 10 11 14 31 
36 7 29 45 30 
1 50 36 22 9 
50 36 23 45 47 
48 4 5 9 30 
48 32 17 38 26 
1 18 37 11 46 
35 24 10 27 13 
19 22 40 44 29 
16 26 29 46 47 
2 20 36 10 27 
21 38 7 24 9 
33 23 40 28 14 
5 37 25 43 14 
49 18 2 10 45 
33 1 20 38 27 
49 18 3 35 9 
49 19 24 9 43 
32 3 43 27 12 
34 22 7 29 15 
49 1 2 22 45 
16 49 5 43 46 
33 4 6 9 43 
18 3 20 21 46 
16 32 1 46 31 
17 2 3 11 46 
17 33 34 3 22 
34 23 25 26 31 
48 50 9 13 47 
33 20 5 43 44 
1 17 24 25 28 
33 6 26 10 31 
2 36 5 38 26 
49 37 26 28 45 
34 4 42 10 46 
16 49 35 6 27 
49 41 10 45 15 
18 23 11 45 46 
50 19 6 45 47 
